calories,carbs,fat,name,resturant
0,0,0,A&W® Diet Root Beer,aw-restaurants
0,0,0,A&W® Diet Root Beer,aw-restaurants
0,0,0,A&W® Diet Root Beer,aw-restaurants
0,0,0,A&W® Diet Root Beer,aw-restaurants
0,0,0,A&W® Diet Root Beer,aw-restaurants
0,0,0,A&W® Diet Root Beer,aw-restaurants
350,60,10,A&W® Diet Root Beer Float (large),aw-restaurants
170,30,5,A&W® Diet Root Beer Float (medium),aw-restaurants
170,30,5,A&W® Diet Root Beer Float (small),aw-restaurants
600,92,18,A&W® Diet Root Beer Freeze (large),aw-restaurants
340,53,10,A&W® Diet Root Beer Freeze (medium),aw-restaurants
260,39,8,A&W® Diet Root Beer Freeze (small),aw-restaurants
160,43,0,A&W® Root Beer,aw-restaurants
220,58,0,A&W® Root Beer,aw-restaurants
270,72,0,A&W® Root Beer,aw-restaurants
440,116,0,A&W® Root Beer,aw-restaurants
880,232,0,A&W® Root Beer,aw-restaurants
1760,464,0,A&W® Root Beer,aw-restaurants
640,136,10,A&W® Root Beer Float (large),aw-restaurants
350,77,5,A&W® Root Beer Float (medium),aw-restaurants
330,70,5,A&W® Root Beer Float (small),aw-restaurants
820,150,18,A&W® Root Beer Freeze (large),aw-restaurants
480,89,10,A&W® Root Beer Freeze (medium),aw-restaurants
370,68,8,A&W® Root Beer Freeze (small),aw-restaurants
270,67,0,Blue Raspberry Slushee,aw-restaurants
370,91,0,Blue Raspberry Slushee,aw-restaurants
570,142,0,Blue Raspberry Slushee,aw-restaurants
740,182,0,Blue Raspberry Slushee,aw-restaurants
480,62,27,Breaded Onion Rings (Large),aw-restaurants
350,45,16,Breaded Onion Rings (Regular),aw-restaurants
340,57,9,Caramel Sundae,aw-restaurants
1140,54,80,Cheese Curds (Large),aw-restaurants
570,27,40,Cheese Curds (Regular),aw-restaurants
350,26,22,Cheese Dog,aw-restaurants
390,50,18,Cheese Fries,aw-restaurants
420,37,21,Cheeseburger,aw-restaurants
190,51,0,Cherry Limeade,aw-restaurants
300,79,0,Cherry Limeade,aw-restaurants
340,90,0,Cherry Limeade,aw-restaurants
530,138,0,Cherry Limeade,aw-restaurants
330,83,0,Cherry Slushee,aw-restaurants
450,112,0,Cherry Slushee,aw-restaurants
570,141,0,Cherry Slushee,aw-restaurants
900,224,0,Cherry Slushee,aw-restaurants
500,32,29,Chicken Strips- 3 pieces,aw-restaurants
190,22,6,Chili,aw-restaurants
410,52,17,Chili Cheese Fries,aw-restaurants
370,49,15,Chili Fries,aw-restaurants
490,68,30,Chocolate Fudge Blendrrr,aw-restaurants
560,92,32,Chocolate Fudge Blendrrr,aw-restaurants
1010,152,59,Chocolate Fudge Blendrrr,aw-restaurants
880,125,36,Chocolate Milkshake (medium),aw-restaurants
700,100,29,Chocolate Milkshake (small),aw-restaurants
320,53,8,Chocolate Sundae,aw-restaurants
380,28,23,Coney (Chili) Cheese Dog,aw-restaurants
340,26,20,Coney (Chili) Dog,aw-restaurants
280,32,13,Corn Dog Nuggets® (Regular),aw-restaurants
180,20,8,Corn Dog Nuggets® (Small/ Kids),aw-restaurants
550,52,25,Crispy Chicken Sandwich,aw-restaurants
340,34,19,Crunchy Shrimp,aw-restaurants
170,2,12,Extra Burger Patty,aw-restaurants
430,61,17,French Fries (Large),aw-restaurants
310,45,12,French Fries (Regular),aw-restaurants
200,28,8,French Fries (Small/ Kids),aw-restaurants
400,31,15,Grilled Chicken Sandwich,aw-restaurants
380,33,19,Hamburger,aw-restaurants
310,23,19,Hot Dog (plain),aw-restaurants
350,54,11,Hot Fudge Sundae,aw-restaurants
330,82,0,Lemon Slushee,aw-restaurants
440,110,0,Lemon Slushee,aw-restaurants
560,139,0,Lemon Slushee,aw-restaurants
890,221,0,Lemon Slushee,aw-restaurants
280,69,0,Lime Slushee,aw-restaurants
380,94,0,Lime Slushee,aw-restaurants
480,119,0,Lime Slushee,aw-restaurants
770,188,0,Lime Slushee,aw-restaurants
140,38,0,Limeade,aw-restaurants
210,55,0,Limeade,aw-restaurants
250,66,0,Limeade,aw-restaurants
390,103,0,Limeade,aw-restaurants
710,107,25,M&M’s® Polar Swirl®,aw-restaurants
610,137,9,Orange Float (large),aw-restaurants
340,81,4.5,Orange Float (medium),aw-restaurants
320,74,4.5,Orange Float (small),aw-restaurants
600,142,10,Orange Freeze (medium),aw-restaurants
970,223,18,Orange Freeze (medium),aw-restaurants
450,108,8,Orange Freeze (small),aw-restaurants
340,56,12,Oreo® Cookies & Cream Blendrrr,aw-restaurants
430,72,15,Oreo® Cookies & Cream Blendrrr,aw-restaurants
650,109,21,Oreo® Cookies & Cream Blendrrr,aw-restaurants
690,107,24,Oreo® Polar Swirl®,aw-restaurants
530,39,30,Original Bacon Cheeseburger,aw-restaurants
760,45,45,Original Bacon Double Cheeseburger,aw-restaurants
680,44,38,Original Double Cheeseburger,aw-restaurants
690,44,39,Papa Burger®,aw-restaurants
470,38,25,Papa Single Burger,aw-restaurants
400,85,6,Pineapple Banana Smoothee,aw-restaurants
480,104,6,Pineapple Banana Smoothee,aw-restaurants
750,160,10,Pineapple Banana Smoothee,aw-restaurants
700,103,41,Reese’s® Peanut Butter Fudge Blendrrr,aw-restaurants
710,108,41,Reese’s® Peanut Butter Fudge Blendrrr,aw-restaurants
1360,203,79,Reese’s® Peanut Butter Fudge Blendrrr,aw-restaurants
740,97,31,Reese’s® Polar Swirl®,aw-restaurants
390,78,6,Strawberry Banana Smoothee,aw-restaurants
420,86,6,Strawberry Banana Smoothee,aw-restaurants
680,137,10,Strawberry Banana Smoothee,aw-restaurants
230,58,0,Strawberry Limeade,aw-restaurants
290,75,0,Strawberry Limeade,aw-restaurants
420,105,0,Strawberry Limeade,aw-restaurants
560,143,0,Strawberry Limeade,aw-restaurants
840,113,36,Strawberry Milkshake (medium),aw-restaurants
670,90,29,Strawberry Milkshake (small),aw-restaurants
360,70,6,Strawberry Smoothee,aw-restaurants
370,74,6,Strawberry Smoothee,aw-restaurants
610,121,10,Strawberry Smoothee,aw-restaurants
300,47,8,Strawberry Sundae,aw-restaurants
260,41,7,Vanilla Cone (large),aw-restaurants
200,32,5,Vanilla Cone (regular),aw-restaurants
900,121,39,Vanilla Milkshake (medium,aw-restaurants
720,97,31,Vanilla Milkshake (small),aw-restaurants
270,73,0,Watermelon Slushee,aw-restaurants
360,99,0,Watermelon Slushee,aw-restaurants
460,124,0,Watermelon Slushee,aw-restaurants
720,197,0,Watermelon Slushee,aw-restaurants
390,35,21,Add Fried Shrimp,applebees
230,2,17,Add Grilled Shrimp,applebees
2375,169,162,Appetizer Sampler,applebees
630,33,43,"Apple Walnut Chicken Salad, Half",applebees
350,15,20,"Apple Walnut Chicken Salad, Half w/o dressing",applebees
1030,54,67,"Apple Walnut Chicken Salad, Regular",applebees
470,18,22,"Apple Walnut Chicken Salad, Regular w/o dressing",applebees
180,12,15,Applebee’s House Salad,applebees
180,12,15,Applebee’s House Salad (without dressing),applebees
130,59,0,Applebee’s Limeades,applebees
1140,49,81,Applebee’s Reuben,applebees
630,25,47,Applebee’s Reuben,applebees
1115,92,55,Applebee’s Riblets Basket,applebees
1705,134,86,Applebee’s Riblets Platter,applebees
380,25,14,Asiago Peppercorn Steak,applebees
380,25,14,Asiago Peppercorn Steak w/sides,applebees
970,51,60,Bacon Cheddar Cheeseburger,applebees
750,50,33,Bacon Cheese Chicken Grill,applebees
430,42,28,Baked Potato,applebees
420,27,32,Baked Potato Soup,applebees
360,20,28,Baked Potato Soup,applebees
1030,90,48,BBQ Pulled Pork Sliders,applebees
190,21,9,Black Bean Soup,applebees
740,54,42,Blackened Tilapia Sandwich,applebees
1310,176,63,Blue Ribbon Brownie,applebees
1160,66,69,"Boneless Wings, Classic Buffalo",applebees
1250,16,55,"Boneless Wings, Honey BBQ",applebees
1170,67,69,"Boneless Wings, Hot Buffalo",applebees
1110,83,55,"Boneless Wings, Southern BBQ",applebees
1150,90,55,"Boneless Wings, Sweet & spicy sauce",applebees
750,31,45,Bourbon Street Chicken & Shrimp,applebees
760,35,44,Bourbon Street Steak,applebees
290,22,19,Breadstick,applebees
340,19,26,Broccoli Cheddar Soup,applebees
280,12,23,Broccoli Cheddar Soup,applebees
360,49,17,Brownie Bite,applebees
850,56,42,Bruschetta Chicken,applebees
740,45,44,"Bruschetta Chicken Salad, Half",applebees
580,40,30,"Bruschetta Chicken Salad, Half w/o dressing",applebees
1110,67,66,"Bruschetta Chicken Salad, Regular",applebees
790,56,36,"Bruschetta Chicken Salad, Regular w/o dressing",applebees
220,8,19,Caesar Salad,applebees
1170,95,69,Cajun Shrimp Pasta,applebees
500,16,42,"California Shrimp Salad, Half",applebees
330,14,23,"California Shrimp Salad, Half w/o dressing",applebees
740,21,61,"California Shrimp Salad, Regular",applebees
380,16,24,"California Shrimp Salad, Regular w/o dressing",applebees
970,60,55,California Turkey Club,applebees
1130,85,87,Cheese Quesadilla Grande,applebees
940,52,58,Cheeseburger,applebees
1270,82,82,Cheeseburger Sliders,applebees
1330,83,87,Cheeseburger Sliders add bacon,applebees
1330,83,87,Cheeseburger Sliders with Applewood Smoked Bacon,applebees
350,28,20,Cheesy Corn,applebees
1350,111,72,Chicken Broccoli Pasta Alfredo,applebees
310,8,20,Chicken Caesar Salad,applebees
850,63,62,Chicken Fajita Rollup,applebees
560,45,41,Chicken Fajita Rollup,applebees
1440,107,82,Chicken Fettuccine Carbonara,applebees
1230,112,59,Chicken Fried Chicken,applebees
1260,118,61,"Chicken Fried Steak (includes mashed potato, gravy & vegetable)",applebees
160,17,4,Chicken Noodle Soup,applebees
110,11,3,Chicken Noodle Soup,applebees
1690,130,95,Chicken Parmesan Stack,applebees
1290,90,90,Chicken Quesadilla Grande,applebees
102,85,60,Chicken Tenders Basket,applebees
1320,107,78,Chicken Tenders Platter,applebees
180,18,8,Chicken Tortilla Soup,applebees
140,12,7,Chicken Tortilla Soup,applebees
310,10,26,Chili,applebees
370,16,28,Chili,applebees
550,59,33,"Chili Cheese Fries, Side",applebees
1680,134,107,Chili Cheese Nachos,applebees
960,106,53,Chips and Spicy Chipotle Lime Salsa,applebees
154,210,74,Chocolate Chip Cookie Sundae,applebees
450,42,31,Chocolate Mousse Shooter,applebees
350,22,24,Clam Chowder,applebees
290,16,20,Clam Chowder,applebees
1150,77,67,Classic Club House Grill,applebees
710,8,49,"Classic Wings, Classic Buffalo",applebees
790,59,35,"Classic Wings, Honey BBQ",applebees
720,9,49,"Classic Wings, Hot Buffalo",applebees
660,25,35,"Classic Wings, Southern BBQ",applebees
690,32,35,"Classic Wings, Sweet & spicy sauce",applebees
140,15,9,Cole Slaw,applebees
1180,77,70,Cowboy Burger,applebees
1520,208,53,Crispy Orange Chicken,applebees
1290,181,56,Crunchy Onion Rings,applebees
530,63,28,"Crunchy Onion Rings, Side",applebees
915,109,46,Decadent Shakes,applebees
1280,133,69,Double Crunch Shrimp,applebees
1345,95,72,Double-Glazed Baby Back Ribs,applebees
935,88,49,Double-Glazed Baby Back Ribs – Half Rack,applebees
1160,94,67,Fiesta Lime Chicken®,applebees
1100,53,73,Fire Pit Bacon Burger,applebees
1300,77,82,Florentine Ravioli with Chicken,applebees
840,75,49,French Dip Sliders,applebees
590,50,36,French Dip Sliders,applebees
260,16,14,French Onion Soup,applebees
90,24,0,"Fresh Fruit, Side",applebees
380,20,27,Fried Chicken Salad,applebees
530,26,42,"Fried Chicken Salad, Half",applebees
310,12,23,"Fried Chicken Salad, Half w/o dressing",applebees
980,50,79,"Fried Chicken Salad, Regular",applebees
540,23,42,"Fried Chicken Salad, Regular w/o dressing",applebees
150,22,5,Fried Red Potatoes,applebees
390,53,18,"Fries, Side",applebees
390,53,18,"Fries, Side",applebees
255,64,0,Frozen Lemonades,applebees
690,61,29,Garlic Herb Salmon,applebees
330,38,18,Garlic Mashed Potatoes,applebees
410,12,29,"Grilled Chicken Caesar, Half",applebees
180,10,5,"Grilled Chicken Caesar, Half w/o dressing",applebees
820,25,57,"Grilled Chicken Caesar, Regular",applebees
370,21,10,"Grilled Chicken Caesar, Regular w/o dressing",applebees
590,58,24,Grilled Chicken Wonton Tacos,applebees
470,30,16,Grilled Dijon Chicken & Portobellos,applebees
470,30,16,Grilled Dijon Chicken & Portobellos,applebees
370,56,4.5,Grilled Shrimp & Island Rice,applebees
260,20,15,Grilled Shrimp ‘N Spinach Salad,applebees
620,33,44,"Grilled Shrimp ‘N Spinach Salad, Half",applebees
460,12,35,"Grilled Shrimp ‘N Spinach Salad, Half w/o dressing",applebees
1010,63,69,"Grilled Shrimp ‘N Spinach Salad, Regular",applebees
680,20,51,"Grilled Shrimp ‘N Spinach Salad, Regular w/o dressing",applebees
460,13,34,"Grilled Steak Caesar, Half",applebees
230,11,10,"Grilled Steak Caesar, Half w/o dressing",applebees
910,25,68,"Grilled Steak Caesar, Regular",applebees
460,21,21,"Grilled Steak Caesar, Regular w/o dressing",applebees
790,50,46,Hamburger,applebees
1570,108,106,Hand-Battered Fish & Chips,applebees
860,63,58,Hand-Battered Fish Sandwich,applebees
1000,87,42,Honey BBQ Chicken Sandwich,applebees
350,43,18,Hot Fudge Sundae Shooter,applebees
120,9,8,House Salad,applebees
310,0,13,House Sirloin,applebees
250,0,12,House Sirloin,applebees
140,0,7,Kids 4oz Sirloin Steak,applebees
70,17,0,Kids Apple Juice (6.75 oz),applebees
50,27,0,Kids Applesauce side,applebees
220,5,22,Kids Celery side with Dressing,applebees
550,44,31,Kids Cheese Pizza,applebees
240,11,14,Kids Chicken Tenders,applebees
215,36,4,Kids Chocolate Milk (1% 8oz),applebees
260,28,14,Kids Corn Dog,applebees
230,16,14,Kids Fried Shrimp,applebees
80,20,0,Kids Grape Juice (6.75 oz),applebees
610,51,36,Kids Grilled Cheese (Hawaiian bread),applebees
630,54,36,Kids Grilled Cheese (sourdough bread),applebees
230,23,5,Kids Grilled Chicken Sandwich,applebees
330,31,18,Kids Hot Dog,applebees
350,45,18,Kids Hot Fudge Sundae,applebees
300,45,9,Kids Kraft Macaroni and Cheese,applebees
130,14,4,Kids Milk (1% or 2% 8 oz),applebees
430,24,30,Kids Mini Cheeseburger – 1,applebees
740,47,46,Kids Mini Cheeseburgers – 2,applebees
390,23,27,Kids Mini Hamburger – 1,applebees
660,46,40,Kids Mini Hamburger – 2,applebees
70,17,0,Kids Orange-Tangerine Juice (6.75 oz),applebees
780,97,41,Kids OREO® Cookie Milkshake,applebees
360,43,19,Kids OREO® Cookie Sundae,applebees
360,60,7,Kids Pasta with Marinara Sauce,applebees
30,4,0,Kids Steamed Broccoli Side,applebees
260,31,14,Kids Strawberry Sundae,applebees
70,19,0,Kids Tropicana Fruit Punch (12 oz),applebees
230,24,14,Kids Vanilla Sundae,applebees
330,49,14,Kids Vanilla Sundae with Hershey’s Syrup,applebees
500,42,35,Loaded Baked Potato,applebees
550,41,42,Loaded Mashed Potatoes,applebees
1100,115,63,Maple Butter Blondie,applebees
800,67,30,Margherita Chicken,applebees
940,84,48,Mozzarella Sticks,applebees
1930,121,138,New England Fish & Chips,applebees
480,1,24,New York Strip,applebees
730,98,17,Orange Glazed Salmon,applebees
1160,121,60,Oriental Chicken Rollup,applebees
420,25,29,Oriental Chicken Salad,applebees
670,42,49,"Oriental Chicken Salad, Half",applebees
340,25,20,"Oriental Chicken Salad, Half w/o dressing",applebees
1340,85,98,"Oriental Chicken Salad, Regular",applebees
680,50,41,"Oriental Chicken Salad, Regular w/o dressing",applebees
430,36,21,Oriental Grilled Chicken Salad,applebees
680,55,40,"Oriental Grilled Chicken Salad, Half",applebees
340,38,9,"Oriental Grilled Chicken Salad, Half w/o dressing",applebees
1290,92,79,"Oriental Grilled Chicken Salad, Regular",applebees
590,58,19,"Oriental Grilled Chicken Salad, Regular w/o dressing",applebees
820,72,48,"Pecan-Crusted Chicken Salad, Half",applebees
580,53,31,"Pecan-Crusted Chicken Salad, Half w/o dressing",applebees
1350,114,80,"Pecan-Crusted Chicken Salad, Regular",applebees
880,76,46,"Pecan-Crusted Chicken Salad, Regular w/o dressing",applebees
1130,70,67,Philly Burger,applebees
820,68,41,Pork Wonton Tacos,applebees
1090,66,103,Potato Skins,applebees
970,81,60,Potato Twisters,applebees
1520,116,90,Provolone-Stuffed Meatballs with Fettuccine,applebees
1240,44,103,Quesadilla Burger,applebees
1330,114,82,Queso Blanco,applebees
1440,118,89,Queso Blanco with chili,applebees
290,48,6,Red Beans & Rice,applebees
670,3,47,Ribeye,applebees
1295,103,73,Riblet and Chicken Tenders Basket,applebees
160,28,2,1% Lowfat Chocolate Milk*,arbys
120,12,4.5,2% Reduced Fat White Milk*,arbys
640,47,35,Angus Cool Deli Sandwich,arbys
620,41,36,Angus Cool Deli Wrap,arbys
660,46,33,Angus Three Cheese & Bacon Sandwich,arbys
440,68,17,Apple Turnover,arbys
80,21,0,Applesauce,arbys
390,39,16,Arby’s Melt,arbys
15,3,0,Arby’s Sauce® Adds,arbys
520,43,26,Bacon Beef ‘n Cheddar,arbys
450,34,26,"Bacon, Egg & Cheese Biscuit",arbys
450,43,21,Beef’n Cheddar Classic,arbys
680,46,37,Beef’n Cheddar Max,arbys
550,43,28,Beef’n Cheddar Mild,arbys
10,1,1,Buffalo Dipping Sauce Adds,arbys
80,21,0,CapriSun® Fruit Juice,arbys
440,67,17,Cherry Turnover,arbys
600,53,28,Chicken Bacon & Swiss – Crispy,arbys
470,43,19,Chicken Bacon & Swiss – Roast,arbys
350,39,15,Chicken Biscuit*,arbys
620,51,30,Chicken Cordon Bleu – Crispy,arbys
490,40,21,Chicken Cordon Bleu – Roast,arbys
420,54,21,Chocolate Chunk Cookies (2),arbys
570,98,15,Chocolate Shake – Regular,arbys
450,75,12,Chocolate Shake – Small,arbys
510,67,25,Chocolate Turnover,arbys
430,30,24,Chopped Farmhouse Chicken Salad – Crispy,arbys
250,11,13,Chopped Farmhouse Chicken Salad – Roast,arbys
70,4,5,Chopped Side Salad,arbys
590,47,37,Classic Italian Toasted Sub,arbys
500,53,21,Cravin’ Chicken Sandwich – Crispy,arbys
370,42,12,Cravin’ Chicken Sandwich – Roast,arbys
270,33,14,Curly Fries – Kids,arbys
710,87,37,Curly Fries – Large,arbys
600,74,31,Curly Fries – Medium,arbys
450,55,24,Curly Fries – Small,arbys
270,33,14,Curly Fries – Value,arbys
430,42,19,Deluxe Bacon Cheddar,arbys
450,51,17,French Dip & Swiss/Au Jus,arbys
300,37,8,Ham & Swiss Melt,arbys
270,22,14,"Ham, Egg & Cheese Croissant",arbys
480,46,20,"Ham, Egg & Cheese Sourdough",arbys
240,35,10,Homestyle Fries – Kids,arbys
610,86,26,Homestyle Fries – Large,arbys
480,69,21,Homestyle Fries – Medium,arbys
360,52,16,Homestyle Fries – Small,arbys
140,5,13,Honey Dijon Mustard Sauce Adds,arbys
50,3,5,Horsey Sauce® Adds,arbys
300,31,17,Jalapeno Bites® – (5),arbys
470,49,27,Jalapeno Bites® – (8),arbys
460,85,15,Jamocha Oreo® Shake – Small,arbys
630,115,20,Jamocha Oreo® Swirl Shake – Regular,arbys
570,97,15,Jamocha Shake – Regular,arbys
440,75,12,Jamocha Shake – Small,arbys
340,33,17,Jr Chicken Sandwich,arbys
350,60,9,Jr Chocolate Shake,arbys
270,25,14,Jr Deluxe Sandwich,arbys
210,26,6,Jr Ham & Cheddar Sandwich,arbys
350,60,9,Jr Jamocha Shake,arbys
210,24,8,Jr Roast Beef,arbys
210,24,8,Jr Roast Beef Sandwich,arbys
290,45,9,Jr Vanilla Shake,arbys
350,32,21,Loaded Potato Bites® – (5),arbys
570,51,34,Loaded Potato Bites® – (8),arbys
440,39,23,Mozzarella Sticks – (4),arbys
660,59,34,Mozzarella Sticks – (6),arbys
300,36,15,Outside-In Cinnamon Bites™,arbys
260,28,15,Potato Cakes (2),arbys
260,28,15,Potato Cakes (2),arbys
390,42,23,Potato Cakes (3),arbys
510,57,30,Potato Cakes (4),arbys
360,31,17,Prime-Cut™ Chicken Tenders (3),arbys
610,52,28,Prime-Cut™ Chicken Tenders (5),arbys
240,21,11,Prime-Cut™ Chicken Tenders – (2),arbys
160,2,16,Ranch Dipping Sauce Adds,arbys
700,64,32,Reuben Sandwich,arbys
360,37,14,Roast Beef Classic,arbys
610,46,29,Roast Beef Max,arbys
470,38,22,Roast Beef Mild,arbys
460,41,18,Roast Chicken Club,arbys
710,78,28,Roast Turkey & Swiss Sandwich,arbys
500,42,24,Roast Turkey & Swiss Wrap,arbys
810,78,36,"Roast Turkey, Ranch & Bacon Sandwich",arbys
600,42,32,"Roast Turkey, Ranch & Bacon Wrap",arbys
460,33,31,Sausage Biscuit,arbys
460,45,26,Sausage Gravy Biscuit,arbys
740,45,47,"Sausage, Egg & Cheese Wrap",arbys
520,46,28,Shroom & Swiss,arbys
590,60,23,Smokin’ Chipotle Chicken*,arbys
460,56,24,Steakhouse Onion Rings (5),arbys
440,44,20,Super Roast Beef,arbys
45,11,0,Tangy Barbeque Sauce Adds,arbys
480,47,21,Turkey Bacon Club Toasted Sub,arbys
480,74,15,Vanilla Shake – Regular,arbys
380,60,12,Vanilla Shake – Small,arbys
750,57,38,Abc Special,atlanta-bread-company
620,67,35,Almond Croissant,atlanta-bread-company
420,65,15,Apple Croissant,atlanta-bread-company
460,67,18,Apple Danish,atlanta-bread-company
330,68,2.5,Apple Spice Bagel,atlanta-bread-company
390,53,11,Asiago Bagel,atlanta-bread-company
920,76,50,Asiago Cream Pasta,atlanta-bread-company
290,39,9,Asiago Focaccia,atlanta-bread-company
80,14,1,Asiago Loaf,atlanta-bread-company
330,60,4.5,Asiago Strip,atlanta-bread-company
490,52,21,"Bacon, Egg & Cheese Sandwich",atlanta-bread-company
330,23,19,Baja Chicken Enchilada,atlanta-bread-company
230,23,13,Baked Potato,atlanta-bread-company
330,35,18,Balsamic Bleu Salad,atlanta-bread-company
610,63,36,Banana Nut Muffin,atlanta-bread-company
420,39,26,Banana Nut Muffin Top,atlanta-bread-company
500,6,10,Basil Pesto Pasta,atlanta-bread-company
320,52,5,Bbq Chicken Pizza,atlanta-bread-company
540,71,24,Bear Claw,atlanta-bread-company
530,83,18,Belgian Waffle With Maple Syrup & Whipped Cream,atlanta-bread-company
610,34,38,Bella Chicken Sandwich,atlanta-bread-company
780,59,41,Bistro Chicken Press,atlanta-bread-company
320,41,15,Blueberry Muffin,atlanta-bread-company
250,31,12,Blueberry Muffin Top,atlanta-bread-company
250,14,17,Broccoli & Cheese,atlanta-bread-company
150,7,9,Caesar Salad,atlanta-bread-company
930,98,50,California Avocado,atlanta-bread-company
660,57,43,Caramel Nut Cheesecake,atlanta-bread-company
680,53,49,Carrot Cake Cheesecake,atlanta-bread-company
360,41,19,Cheese Croissant,atlanta-bread-company
490,66,22,Cheese Danish,atlanta-bread-company
190,24,6,Chicken & Sausage Gumbo,atlanta-bread-company
670,80,19,Chicken Cordon Bleu Panini,atlanta-bread-company
910,89,34,Chicken Parmesan,atlanta-bread-company
430,13,34,Chicken Peppercorn,atlanta-bread-company
840,95,33,Chicken Pesto Calzone,atlanta-bread-company
710,80,26,Chicken Pesto Panini,atlanta-bread-company
440,42,19,Chicken Salad On Sourdough,atlanta-bread-company
450,29,29,Chicken Waldorf,atlanta-bread-company
170,6,15,Chive Cream Cheese,atlanta-bread-company
640,83,31,Chocolate Chip Muffin,atlanta-bread-company
390,51,19,Chocolate Chip Muffin Top,atlanta-bread-company
430,58,21,Chocolate Chunk Cookie,atlanta-bread-company
560,68,28,Chocolate Croissant,atlanta-bread-company
410,56,19,Chocolate Toffee Cookie,atlanta-bread-company
410,60,17,"Chocolate, Oatmeal And Craisin Cookie",atlanta-bread-company
240,22,10,Chopstix Chicken Salad,atlanta-bread-company
270,55,2,Ciabatta,atlanta-bread-company
330,67,2.5,Cinnamon Crisp Bagel,atlanta-bread-company
270,55,1,Cinnamon Raisin Bagel,atlanta-bread-company
270,50,4.5,Cinnamon Raisin Bread,atlanta-bread-company
640,91,26,Cinnamon Roll,atlanta-bread-company
290,33,10,Classic Beef Chili,atlanta-bread-company
130,15,1.5,Classic Chicken Noodle,atlanta-bread-company
440,46,26,Cookies And Cream Cheesecake,atlanta-bread-company
460,73,19,Creamy Caramel Brownie,atlanta-bread-company
650,80,19,Cubano Panini,atlanta-bread-company
450,73,19,Double Chocolate Brownie,atlanta-bread-company
440,52,17,Egg & Cheese Sandwich,atlanta-bread-company
350,66,3.5,Everything Bagel,atlanta-bread-company
860,83,35,Fettuccine Salmone,atlanta-bread-company
460,6,34,Florentine Omelette,atlanta-bread-company
530,46,23,Four Cheese Pizza,atlanta-bread-company
90,19,0,French Baguette,atlanta-bread-company
330,37,17,French Croissant,atlanta-bread-company
110,23,0,French Loaf,atlanta-bread-company
80,11,2.5,French Onion,atlanta-bread-company
160,34,0.5,French Roll,atlanta-bread-company
640,121,11,French Toast With Maple Syrup,atlanta-bread-company
290,26,10,Frontier Chicken Chili,atlanta-bread-company
90,16,0.5,Garden Vegetable,atlanta-bread-company
560,74,26,Gooey Butter Danish,atlanta-bread-company
240,15,16,Greek Salad,atlanta-bread-company
500,3,35,Ham & Swiss Omelette,atlanta-bread-company
500,54,18,"Ham, Egg & Cheddar Cheese Sandwich",atlanta-bread-company
400,17,34,Homestyle Chicken & Dumpling,atlanta-bread-company
410,64,5,Honey Maple Ham On Honey Wheat,atlanta-bread-company
190,14,14,Honey Raisin Walnut Cream Cheese,atlanta-bread-company
140,28,1.5,Honey Wheat Bread,atlanta-bread-company
90,13,2,House Salad,atlanta-bread-company
570,84,16,Italian Vegetarian Panini,atlanta-bread-company
520,65,26,Key Lime Pie,atlanta-bread-company
300,44,7,Kid’S Cheese Pizza,atlanta-bread-company
390,46,15,Kid’S Grilled Cheese,atlanta-bread-company
550,89,15,Kid’S Peanut Butter & Jelly,atlanta-bread-company
470,69,11,Kid’S Penne And Cheese,atlanta-bread-company
230,48,2.5,Low Fat Apple Muffin,atlanta-bread-company
240,51,2,Low Fat Pumpkin Muffin,atlanta-bread-company
200,43,2,Low Fat Pumpkin Muffin Top,atlanta-bread-company
480,43,22,Margherita Pizza,atlanta-bread-company
620,79,30,Mocha Chip Muffin,atlanta-bread-company
410,53,20,Mocha Chip Muffin Top,atlanta-bread-company
420,31,21,Morning Classic With Bacon,atlanta-bread-company
420,39,15,Morning Classic With Ham,atlanta-bread-company
650,32,40,Morning Classic With Sausage,atlanta-bread-company
190,16,9,New England Clam Chowder,atlanta-bread-company
120,22,2,Nine Grain Bread,atlanta-bread-company
660,59,29,Ny Hot Pastrami,atlanta-bread-company
370,59,14,Oatmeal Raisin Cookie,atlanta-bread-company
180,2,17,Olive Cream Cheese,atlanta-bread-company
430,78,8,Panini Bread,atlanta-bread-company
440,42,37,Peanut Butter Cookie,atlanta-bread-company
860,72,59,Pecan Roll,atlanta-bread-company
610,54,41,Pecan Turtle Cheesecake,atlanta-bread-company
980,180,13,Penne Bolognese,atlanta-bread-company
970,79,43,Penne Pomodoro,atlanta-bread-company
340,44,10,Pepperoni Pizza,atlanta-bread-company
300,60,1.5,Plain Bagel,atlanta-bread-company
570,52,36,Plain Cheesecake,atlanta-bread-company
190,1,19,Plain Cream Cheese,atlanta-bread-company
340,62,5,Poppy Seed Bagel,atlanta-bread-company
110,22,1,Pumpernickel Loaf,atlanta-bread-company
510,50,31,Pumpkin Cheesecake,atlanta-bread-company
530,83,20,Pumpkin Muffin,atlanta-bread-company
430,63,18,Raspberry Cheese Croissant,atlanta-bread-company
440,63,18,Raspberry Cheese Danish,atlanta-bread-company
100,8,8,Raspberry Cream Cheese,atlanta-bread-company
90,18,1,Rye Loaf,atlanta-bread-company
560,40,29,Salsa Fresca Salmon Salad,atlanta-bread-company
